"","Authors","Title","Year","Source","ArticleURL","Type","DOI","Cites","GSRank","QueryDate","Database","SearchTerms","RecordID"
"1","L Monforte, G Soriano, E Núñez‐Olivera…","Cell compartmentation of ultraviolet‐absorbing compounds: An underexplored tool related to bryophyte ecology, phylogeny and evolution",2018,"Functional …","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2435.13048","","10.1111/1365-2435.13048",20,1,"2024-07-05 12:15:44","google,google,google,scopus","bryophyte*--absorption,bryophyte*--leafmass,bryophyte*--light,bryophyte*--leafmass",20000
"2","S Huttunen, NM Lappalainen, J Turunen","UV-absorbing compounds in subarctic herbarium bryophytes",2005,"Environmental Pollution","https://www.sciencedirect.com/science/article/pii/S0269749104002398","","",62,2,"2024-07-05 12:15:44","google,google,scopus","bryophyte*--absorption,bryophyte*--leafmass,bryophyte*--absorption",20001
"3","M Arróniz-Crespo, E Núñez-Olivera…","A survey of the distribution of UV-absorbing compounds in aquatic bryophytes from a mountain stream",2004,"The bryologist","https://bioone.org/journals/the-bryologist/volume-107/issue-2/0007-2745(2004)107[0202:ASOTDO]2.0.CO;2/A-Survey-of-the-Distribution-of-UV-Absorbing-Compounds-in/10.1639/0007-2745(2004)107[0202:ASOTDO]2.0.CO;2.short","","10.1639/0007-2745(2004)107[0202:ASOTDO]2.0.CO;2.short",33,3,"2024-07-05 12:15:44","google,google","bryophyte*--absorption,bryophyte*--scattering",20002
"4","DT Streeter","Bryophyte ecology",1970,"Science Progress (1933-)","https://www.jstor.org/stable/43419985","","",26,4,"2024-07-05 12:15:44","google,,,,,google,,,google,","bryophyte*--absorption,,,,,bryophyte*--chlorophyll,,,bryophyte*--distribution,",20003
"5","G Soriano, MÁ Del-Castillo-Alonso, L Monforte…","Phenolic compounds from different bryophyte species and cell compartments respond specifically to ultraviolet radiation, but not particularly quickly",2019,"Plant Physiology and …","https://www.sciencedirect.com/science/article/pii/S0981942818303206","","",26,5,"2024-07-05 12:15:44","google,google,google","bryophyte*--absorption,bryophyte*--chlorophyll,bryophyte*--quantumyield",20004
"6","JM Glime, RE Keen","The importance of bryophytes in a man-centered world",1984,"The Journal of the Hattori Botanical Laboratory","https://www.jstage.jst.go.jp/article/jhbl/55/0/55_133/_article/-char/ja/","","",38,6,"2024-07-05 12:15:44","google,google","bryophyte*--absorption,bryophyte*--chlorophyll",20005
"7","PM Patterson","Some ecological observations on bryophytes",1943,"The Bryologist","https://www.jstor.org/stable/3239611","","",13,7,"2024-07-05 12:15:44","google,google","bryophyte*--absorption,bryophyte*--respiration",20006
"8","J Wang, F Shi, B Xu, Q Wang, Y Wu, N Wu","Uptake and recovery of soil nitrogen by bryophytes and vascular plants in an alpine meadow",2014,"Journal of Mountain Science","https://link.springer.com/article/10.1007/s11629-013-2707-4","","10.1007/s11629-013-2707-4",19,8,"2024-07-05 12:15:44","google,google,google,google,google,google,google,scopus","bryophyte*--absorption,bryophyte*--carbon,bryophyte*--nitrogen,bryophyte*--nitrogenfixation,bryophyte*--phenology,bryophyte*--phosphorus,bryophyte*--soil,bryophyte*--photosynthesis",20007
"9","HT Shacklette","Element content of bryophytes",1965,"","https://pubs.usgs.gov/bul/1198d/report.pdf","PDF","",124,9,"2024-07-05 12:15:44","google,,google,google","bryophyte*--absorption,,bryophyte*--nitrogen,bryophyte*--phosphorus",20008
"10","JW Bates","Mineral nutrient acquisition and retention by bryophytes",1992,"Journal of Bryology","https://www.tandfonline.com/doi/abs/10.1179/jbr.1992.17.2.223","","10.1179/jbr.1992.17.2.223",191,10,"2024-07-05 12:15:44","google,google,google,google,google,google,scopus","bryophyte*--absorption,bryophyte*--carbon,bryophyte*--chlorophyll,bryophyte*--nitrogen,bryophyte*--phosphorus,bryophyte*--soil,bryophyte*--soil",20009
"11","JA Raven","Putting the fight in bryophytes",2002,"New Phytologist","https://www.jstor.org/stable/1513954","","",10,11,"2024-07-05 12:15:44","google,google,google","bryophyte*--absorption,bryophyte*--photosynthesis,bryophyte*--rhizoid",20010
"12","J Martínez-Abaigar, E Núñez-Olivera…","Different physiological responses of two aquatic bryophytes to enhanced ultraviolet-B radiation",2003,"Journal of …","https://www.tandfonline.com/doi/abs/10.1179/037366803125002626","","10.1179/037366803125002626",58,12,"2024-07-05 12:15:44","google,google,google,google,google,google,google,google,google,scopus,scopus,scopus,scopus,scopus,scopus","bryophyte*--absorption,bryophyte*--chlorophyll,bryophyte*--electrontransport,bryophyte*--leafthickness,bryophyte*--light,bryophyte*--photosynthesis,bryophyte*--photosystem,bryophyte*--quantumyield,bryophyte*--scattering,bryophyte*--chlorophyll,bryophyte*--electrontransport,bryophyte*--photosynthesis,bryophyte*--photosystem,bryophyte*--quantumyield,bryophyte*--respiration",20011
"13","H Hespanhol, G Fabón, L Monforte, J Martínez-Abaigar…","Among-and within-genus variability of the UV-absorption capacity in saxicolous mosses",2014,"The Bryologist","https://bioone.org/journals/the-bryologist/volume-117/issue-1/0007-2745-117.1.001/Among--and-within-genus-variability-of-the-UV-absorption/10.1639/0007-2745-117.1.001.short","","10.1639/0007-2745-117.1.001.short",11,13,"2024-07-05 12:15:44","google,scopus","bryophyte*--absorption,bryophyte*--absorption",20012
"14","L Tessier, JL Boisvert","Performance of terrestrial bryophytes as biomonitors of atmospheric pollution. A review",1999,"Toxicological &Environmental Chemistry","https://www.tandfonline.com/doi/abs/10.1080/02772249909358655","","10.1080/02772249909358655",22,14,"2024-07-05 12:15:44","google","bryophyte*--absorption",20013
"15","MM Ghatge, SD Shaikh, M Dongare","Study on the metal absorption by two bryophytes from Koyana wildlife sanctuary (India)",2011,"Journal of Experimental Sciences","https://core.ac.uk/download/pdf/236016144.pdf","PDF","",5,15,"2024-07-05 12:15:44","google","bryophyte*--absorption",20014
"16","G Soriano, MÁ Del-Castillo-Alonso…","Acclimation of bryophytes to sun conditions, in comparison to shade conditions, is influenced by both photosynthetic and ultraviolet radiations",2019,"Frontiers in Plant …","https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2019.00998/full","HTML","10.3389/fpls.2019.00998",12,16,"2024-07-05 12:15:44","google,google,google,google,google,google,google","bryophyte*--absorption,bryophyte*--chlorophyll,bryophyte*--leafmass,bryophyte*--light,bryophyte*--photosynthesis,bryophyte*--photosystem,bryophyte*--quantumyield",20015
"17","MD Vázquez, J López, A Carballeira","Uptake of heavy metals to the extracellular and intracellular compartments in three species of aquatic bryophyte",1999,"Ecotoxicology and Environmental …","https://www.sciencedirect.com/science/article/pii/S0147651399917980","","",128,17,"2024-07-05 12:15:44","google,scopus","bryophyte*--absorption,bryophyte*--watercontent",20016
"18","JANP Frahm","Bryophyte phytomass in tropical ecosystems",1990,"Botanical journal of the linnean society","https://academic.oup.com/botlinnean/article-abstract/104/1-3/23/2631074","","",81,18,"2024-07-05 12:15:44","google,google,google,google,google,google,google,google,google,google,scopus,scopus,scopus","bryophyte*--absorption,bryophyte*--carbon,bryophyte*--chlorophyll,bryophyte*--height,bryophyte*--light,bryophyte*--nitrogen,bryophyte*--phosphorus,bryophyte*--photosynthesis,bryophyte*--respiration,bryophyte*--soil,bryophyte*--desiccation,bryophyte*--photosynthesis,bryophyte*--respiration",20017
"19","SA Robinson, MJ Waterman","Sunsafe bryophytes: photoprotection from excess and damaging solar radiation",2013,"Photosynthesis in bryophytes and early land …","https://link.springer.com/chapter/10.1007/978-94-007-6988-5_7","","10.1007/978-94-007-6988-5_7",55,19,"2024-07-05 12:15:44","google,google,google,google,google,google,google","bryophyte*--absorption,bryophyte*--carboxylation,bryophyte*--electrontransport,bryophyte*--light,bryophyte*--photosynthesis,bryophyte*--photosystem,bryophyte*--reflectance",20018
"20","JM Glime","Photosynthesis in aquatic bryophytes",2013,"Photosynthesis in bryophytes and early land plants","https://link.springer.com/chapter/10.1007/978-94-007-6988-5_12","","10.1007/978-94-007-6988-5_12",27,20,"2024-07-05 12:15:44","google,google,google,google,google,google,google,google,google,google,google,google,google","bryophyte*--absorption,bryophyte*--carbon,bryophyte*--carboxylation,bryophyte*--chlorophyll,bryophyte*--electrontransport,bryophyte*--light,bryophyte*--phosphorus,bryophyte*--photosynthesis,bryophyte*--photosynthetictissue,bryophyte*--photosystem,bryophyte*--quantumyield,bryophyte*--reflectance,bryophyte*--respiration",20019
"21","Z Varela, MT Boquete, JA Fernández…","Mythbusters: Unravelling the pollutant uptake processes in mosses for air quality biomonitoring",2023,"Ecological …","https://www.sciencedirect.com/science/article/pii/S1470160X23002376","HTML","",13,21,"2024-07-05 12:15:44","google","bryophyte*--absorption",20020
"22","L Song, HZ Lu, XL Xu, S Li, XM Shi, X Chen, Y Wu…","Organic nitrogen uptake is a significant contributor to nitrogen economy of subtropical epiphytic bryophytes",2016,"Scientific reports","https://www.nature.com/articles/srep30408","HTML","",40,22,"2024-07-05 12:15:44","google,google,google,google","bryophyte*--absorption,bryophyte*--carbon,bryophyte*--nitrogen,bryophyte*--nitrogenfixation",20021
"23","G Fabón, L Monforte, R Tomás-Las-Heras…","Cell compartmentation of UV-absorbing compounds in two aquatic mosses under enhanced UV-B",2012,"Cryptogamie …","https://bioone.org/journals/Cryptogamie-Bryologie/volume-33/issue-2/cryb.v33.iss2.2012.169/Cell-Compartmentation-of-UV-Absorbing-Compounds-in-Two-Aquatic-Mosses/10.7872/cryb.v33.iss2.2012.169.short","","10.7872/cryb.v33.iss2.2012.169.short",19,23,"2024-07-05 12:15:44","google,google","bryophyte*--absorption,bryophyte*--quantumyield",20022
"24","RK Gupta","A study of photosynthesis and leakage of solutes in relation to the desiccation effects in bryophytes",1977,"Canadian Journal of Botany","https://cdnsciencepub.com/doi/abs/10.1139/b77-138","","10.1139/b77-138",94,24,"2024-07-05 12:15:44","google,google,google","bryophyte*--absorption,bryophyte*--photosynthesis,bryophyte*--respiration",20023
"25","DN Rao","Responses of bryophytes to air pollution",1982,"Bryophyte ecology","https://link.springer.com/content/pdf/10.1007/978-94-009-5891-3_12?pdf=chapter%20toc","","10.1007/978-94-009-5891-3_12",182,25,"2024-07-05 12:15:44","google,google,google,google,google","bryophyte*--absorption,bryophyte*--chlorophyll,bryophyte*--respiration,bryophyte*--scattering,bryophyte*--soil",20024
"26","YM Bahuguna, S Gairola, DP Semwal…","Bryophytes and ecosystem",2013,"Biodiversity of lower …","https://www.researchgate.net/profile/Sumeet-Gairola/publication/263415163_Bryophytes_and_Ecosystem/links/0046353ac37261ed86000000/Bryophytes-and-Ecosystem.pdf","PDF","",24,26,"2024-07-05 12:15:44","google,,,,,google,,google,google,,google","bryophyte*--absorption,,,,,bryophyte*--carbon,,bryophyte*--chlorophyll,bryophyte*--height,,bryophyte*--nitrogen",20025
"27","TG Pypker, MH Unsworth, JT Van Stan…","The absorption and evaporation of water vapor by epiphytes in an old‐growth Douglas‐fir forest during the seasonal summer dry season: Implications for the canopy …",2017,"Ecohydrology","https://onlinelibrary.wiley.com/doi/abs/10.1002/eco.1801","","10.1002/eco.1801",23,27,"2024-07-05 12:15:44","google,google","bryophyte*--absorption,bryophyte*--conductance",20026
"28","M Marschall","Ecophysiology of bryophytes in a changing environment",2017,"Acta Biologica Plantarum Agriensis","https://real.mtak.hu/71854/","","",9,28,"2024-07-05 12:15:44","google,google,google,google,google,google,google,google","bryophyte*--absorption,bryophyte*--carbon,bryophyte*--chlorophyll,bryophyte*--electrontransport,bryophyte*--light,bryophyte*--photosynthesis,bryophyte*--respiration,bryophyte*--waterpotential",20027
"29","J Martínez-Abaigar…","Bryophyte ultraviolet-omics: from genes to the environment",2022,"Journal of Experimental …","https://academic.oup.com/jxb/article-abstract/73/13/4412/6547078","","",6,29,"2024-07-05 12:15:44","google,google,google,google,google,google,google,google","bryophyte*--absorption,bryophyte*--conductance,bryophyte*--leafdensity,bryophyte*--light,bryophyte*--phenology,bryophyte*--photosynthesis,bryophyte*--quantumyield,bryophyte*--reflectance",20028
"30","SM Thielen, C Gall, M Ebner, M Nebel…","Water's path from moss to soil: A multi-methodological study on water absorption and evaporation of soil-moss combinations",2021,"Journal of Hydrology …","https://intapi.sciendo.com/pdf/10.2478/johh-2021-0021","PDF","10.2478/johh-2021-0021",20,30,"2024-07-05 12:15:44","google,google,scopus,scopus","bryophyte*--absorption,bryophyte*--bulkdensity,bryophyte*--absorption,bryophyte*--leafarea",20029
"31","SK Rice, DT Hanson, Z Portman","Structural and functional analyses of bryophyte canopies",2013,"… in bryophytes and early land plants","https://link.springer.com/chapter/10.1007/978-94-007-6988-5_10","","10.1007/978-94-007-6988-5_10",13,31,"2024-07-05 12:15:44","google,google,google,google,google,google,google,google,google,google,google,google,google,google","bryophyte*--absorption,bryophyte*--carbon,bryophyte*--chlorophyll,bryophyte*--electrontransport,bryophyte*--height,bryophyte*--leafdensity,bryophyte*--light,bryophyte*--photosynthesis,bryophyte*--photosystem,bryophyte*--quantumyield,bryophyte*--reflectance,bryophyte*--respiration,bryophyte*--scattering,bryophyte*--shootareaindex",20030
"32","SQ Sun, DY Wang, M He, XY Li, C Zhang","Retention capacities of several bryophytes for Hg (II) with special reference to the elevation and morphology of moss growth",2007,"Environmental monitoring and …","https://link.springer.com/article/10.1007/s10661-006-9594-x","","10.1007/s10661-006-9594-x",21,32,"2024-07-05 12:15:44","google,google","bryophyte*--absorption,bryophyte*--leafdensity",20031
"33","DN Rao, G Robitaille, F LeBlanc","Influence of heavy metal pollution on lichens and bryophytes",1977,"The Journal of the Hattori …","https://www.jstage.jst.go.jp/article/jhbl/42/0/42_213/_article/-char/ja/","","",78,33,"2024-07-05 12:15:44","google,google","bryophyte*--absorption,bryophyte*--chlorophyll",20032
"34","JO Rieley, PW Richards, ADL Bebbington","The ecological role of bryophytes in a North Wales woodland",1979,"The Journal of Ecology","https://www.jstor.org/stable/2259109","","",153,34,"2024-07-05 12:15:44","google,google,google,google,google,google","bryophyte*--absorption,bryophyte*--carbon,bryophyte*--height,bryophyte*--nitrogen,bryophyte*--phosphorus,bryophyte*--scattering",20033
