"","Authors","Title","Year","Source","ArticleURL","Type","DOI","Cites","GSRank","QueryDate","Database","SearchTerms","RecordID"
"1","S Otero, E Núñez-Olivera, J Martínez-Abaigar…","… of cadmium and enhanced UV radiation on the physiology and the concentration of UV-absorbing compounds of the aquatic liverwort Jungermannia exsertifolia subsp …",2006,"Photochemical & …","https://link.springer.com/article/10.1039/b601105e","","10.1039/b601105e",53,1,"2024-07-16 10:21:29","google,google,google,google,google,google,google,google,google","liverwort--absorption,liverwort--absorption,liverwort--chlorophyll,liverwort--electrontransport,liverwort--light,liverwort--photosynthesis,liverwort--photosystem,liverwort--respiration,liverwort--rubisco",110000
"2","G Fabón, L Monforte, R Tomás-Las-Heras…","… response of UV-absorbing compounds, quantum yield and the xanthophyll cycle to diel changes in UV-B and photosynthetic radiations in an aquatic liverwort",2012,"Journal of Plant …","https://www.sciencedirect.com/science/article/pii/S0176161711003646","","",36,2,"2024-07-16 10:21:29","google,google,google,google,google,google,scopus,scopus","liverwort--absorption,liverwort--absorption,liverwort--chlorophyll,liverwort--light,liverwort--photosynthesis,liverwort--photosystem,liverwort--chlorophyll,liverwort--photosynthesis",110001
"3","E Núñez‐Olivera, S Otero, R Tomás…","Seasonal variations in UV‐absorbing compounds and physiological characteristics in the aquatic liverwort Jungermannia exsertifolia subsp. cordifolia over a 3‐year …",2009,"Physiologia …","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1399-3054.2009.01215.x","","10.1111/j.1399-3054.2009.01215.x",30,3,"2024-07-16 10:21:29","google,google,google,google,google,google,google,google,scopus","liverwort--absorption,liverwort--absorption,liverwort--chlorophyll,liverwort--electrontransport,liverwort--light,liverwort--photosynthesis,liverwort--photosystem,liverwort*--scattering,liverwort--chlorophyll",110002
"4","AAA Suleiman, DH Lewis","CARBOHYDRATE METABOLISM IN THE LEAFY LIVERWORT, PLAGIOCHILA ASPLENIOIDES (L.) DUM. VAR. MAJOR NEES",1980,"New phytologist","https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-8137.1980.tb00748.x","","10.1111/j.1469-8137.1980.tb00748.x",16,4,"2024-07-16 10:21:29","google,google,google,google,google,google,google,scopus","liverwort--absorption,liverwort--absorption,liverwort--carbon,liverwort--chlorophyll,liverwort--light,liverwort--photosynthesis,liverwort--photosynthetictissue,liverwort--chlorophyll",110003
"5","J Martínez-Abaigar, L Monforte…","Ultraviolet-absorbing compounds from the cell walls of an aquatic liverwort are more efficiently extracted by alkaline than by enzymatic digestion",2015,"Journal of …","https://www.tandfonline.com/doi/abs/10.1179/1743282014Y.0000000112","","10.1179/1743282014Y.0000000112",4,5,"2024-07-16 10:21:29","google,google,google","liverwort--absorption,liverwort--absorption,liverwort--chlorophyll",110004
"6","JE Altland, G Wehtje, CH Gilliam, ME Miller","Liverwort (Marchantia polymorpha) control with quinoclamine",2007,"Weed Technology","https://www.cambridge.org/core/journals/weed-technology/article/liverwort-marchantia-polymorpha-control-with-quinoclamine/99BB913014105B8717AE21AD0B867592","","",11,6,"2024-07-16 10:21:29","google,google,google,google,google,google,google,google,google,scopus,scopus","liverwort--absorption,liverwort--absorption,liverwort--chlorophyll,liverwort--light,liverwort--nitrogen,liverwort--phosphorus,liverwort--photosynthesis,liverwort--photosystem,liverwort--soil,liverwort--absorption,liverwort--carbon",110005
"7","L Monforte, R Tomas-Las-Heras…","Spatial variability of ultraviolet-absorbing compounds in an aquatic liverwort and their usefulness as biomarkers of current and past UV radiation: A case study in the …",2015,"Science of the total …","https://www.sciencedirect.com/science/article/pii/S0048969715002715","","",15,7,"2024-07-16 10:21:29","google,google,google,google,google","liverwort--absorption,liverwort--absorption,liverwort--chlorophyll,liverwort--photosystem,liverwort--watercontent",110006
"8","G Soriano, MÁ Del-Castillo-Alonso, L Monforte…","Developmental Stage Determines the Accumulation Pattern of UV-Absorbing Compounds in the Model Liverwort Marchantia polymorpha subsp. ruderalis …",2021,"Plants","https://www.mdpi.com/2223-7747/10/3/473","HTML","",5,8,"2024-07-16 10:21:29","google,google,google,google,google,google,google","liverwort--absorption,liverwort--absorption,liverwort--chlorophyll,liverwort--phosphorus,liverwort--photosystem,liverwort--respiration,liverwort--watercontent",110007
"9","L Monforte, E Nunez-Olivera, J Martinez-Abaigar","UV radiation biomonitoring using cell compartmentation of UV-absorbing compounds in herbarium samples of a liverwort",2015,"Ecological Indicators","https://www.sciencedirect.com/science/article/pii/S1470160X14005627","","",9,9,"2024-07-16 10:21:29","google,google,google","liverwort--absorption,liverwort--absorption,liverwort--watercontent",110008
"10","JE Altland, G Wehtje, J Sibley, ME Miller…","Differential response of liverwort (Marchantia polymorpha) tissue to post-applied quinoclamine",2011,"Weed …","https://www.cambridge.org/core/journals/weed-technology/article/differential-response-of-liverwort-marchantia-polymorpha-tissue-to-postapplied-quinoclamine/A7B1D06DB36009BEB0A37ED6AC371597","","",7,10,"2024-07-16 10:21:29","google,google,google,google,google,google,google,google,scopus,scopus","liverwort--absorption,liverwort--absorption,liverwort--chlorophyll,liverwort--nitrogen,liverwort--photosynthesis,liverwort--photosynthetictissue,liverwort--photosystem,liverwort--soil,liverwort--absorption,liverwort--chlorophyll",110009
