target_record,match_1,match_2,match_3,match_4,match_5,match_6,match_7,match_8,match_9,match_10
130000,100178,NA,NA,NA,NA,NA,NA,NA,NA,NA
130001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130004,110325,NA,NA,NA,NA,NA,NA,NA,NA,NA
130005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130008,26752,NA,NA,NA,NA,NA,NA,NA,NA,NA
130009,107,NA,NA,NA,NA,NA,NA,NA,NA,NA
130010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130012,100115,NA,NA,NA,NA,NA,NA,NA,NA,NA
130013,100386,NA,NA,NA,NA,NA,NA,NA,NA,NA
130014,7826,NA,NA,NA,NA,NA,NA,NA,NA,NA
130015,26893,8059,NA,NA,NA,NA,NA,NA,NA,NA
130016,243,NA,NA,NA,NA,NA,NA,NA,NA,NA
130017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130018,104206,NA,NA,NA,NA,NA,NA,NA,NA,NA
130019,2484,NA,NA,NA,NA,NA,NA,NA,NA,NA
130020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130023,100086,NA,NA,NA,NA,NA,NA,NA,NA,NA
130024,112238,2370,170181,NA,NA,NA,NA,NA,NA,NA
130025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130027,20338,110309,7646,NA,NA,NA,NA,NA,NA,NA
130028,177861,NA,NA,NA,NA,NA,NA,NA,NA,NA
130029,20542,308,177303,NA,NA,NA,NA,NA,NA,NA
130030,10113,NA,NA,NA,NA,NA,NA,NA,NA,NA
130031,25575,1280,NA,NA,NA,NA,NA,NA,NA,NA
130032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130040,25589,116911,5948,NA,NA,NA,NA,NA,NA,NA
130041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130045,103095,NA,NA,NA,NA,NA,NA,NA,NA,NA
130046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130047,26776,177877,NA,NA,NA,NA,NA,NA,NA,NA
130048,100007,NA,NA,NA,NA,NA,NA,NA,NA,NA
130049,102783,NA,NA,NA,NA,NA,NA,NA,NA,NA
130050,1479,NA,NA,NA,NA,NA,NA,NA,NA,NA
130051,110581,172593,NA,NA,NA,NA,NA,NA,NA,NA
130052,25541,1184,100031,NA,NA,NA,NA,NA,NA,NA
130053,100134,NA,NA,NA,NA,NA,NA,NA,NA,NA
130054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130056,760,NA,NA,NA,NA,NA,NA,NA,NA,NA
130057,22298,211,100210,NA,NA,NA,NA,NA,NA,NA
130058,29743,NA,NA,NA,NA,NA,NA,NA,NA,NA
130059,26331,113108,NA,NA,NA,NA,NA,NA,NA,NA
130060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130066,20563,7712,NA,NA,NA,NA,NA,NA,NA,NA
130067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130071,11300,NA,NA,NA,NA,NA,NA,NA,NA,NA
130072,7634,NA,NA,NA,NA,NA,NA,NA,NA,NA
130073,4518,100069,NA,NA,NA,NA,NA,NA,NA,NA
130074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130075,2866,100355,NA,NA,NA,NA,NA,NA,NA,NA
130076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130078,100294,NA,NA,NA,NA,NA,NA,NA,NA,NA
130079,174760,100926,NA,NA,NA,NA,NA,NA,NA,NA
130080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130084,455,NA,NA,NA,NA,NA,NA,NA,NA,NA
130085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130086,278,NA,NA,NA,NA,NA,NA,NA,NA,NA
130087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130088,100254,NA,NA,NA,NA,NA,NA,NA,NA,NA
130089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130090,101116,NA,NA,NA,NA,NA,NA,NA,NA,NA
130091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130093,1257,100199,NA,NA,NA,NA,NA,NA,NA,NA
130094,249,NA,NA,NA,NA,NA,NA,NA,NA,NA
130095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130096,100558,NA,NA,NA,NA,NA,NA,NA,NA,NA
130097,27998,112262,2403,172956,NA,NA,NA,NA,NA,NA
130098,100518,NA,NA,NA,NA,NA,NA,NA,NA,NA
130099,177786,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
