"","batch","initial # of entries","de-duplicated # of entries","% records kept"
"1","biocrust",8846,3098,35.021478634411
"2","liverwort",8572,4677,54.5613625758283
"3","moss",12202,8344,68.3822324209146
"4","nonvascular",13345,8460,63.3945297864369
"5","peat",11672,8251,70.690541466758
"6","pleurozium",7774,3555,45.7293542577823
"7","sphagnum",8396,4789,57.0390662220105
"8","syntrichia",5843,1992,34.0920759883621
